Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,,Full Demo
2,Page,,,,,,,,,,Page 1
3,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Mapping
4,Process,Flowchart Shapes,2,,,,,,,,map z to @
5,Decision,Flowchart Shapes,2,,,,,,,,has word the char z?
6,Process,Flowchart Shapes,2,,,,,,,,map all letters utilising table and @ to a
7,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Transliteration
8,Process,Flowchart Shapes,2,,,,,,,,process each word with mapping
9,Process,Flowchart Shapes,2,,,,,,,,bind transliterated words together
10,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Preprocessor
11,Process,Flowchart Shapes,2,,,,,,,,Normalize the text!
12,Process,Flowchart Shapes,2,,,,,,,,Tokenize the text!
13,Terminator,Flowchart Shapes,2,,,,,,,,Preprocessor
14,Process,Flowchart Shapes,2,,,,,,,,"done, terminate"
15,Line,,2,,,5,4,None,Arrow,,Yes
16,Line,,2,,,5,6,None,Arrow,,No
17,Line,,2,,,3,5,None,Arrow,,
18,Line,,2,,,4,6,None,Arrow,,
19,Line,,2,,,8,9,None,Arrow,,
20,Line,,2,,,10,11,None,Arrow,,
21,Line,,2,,,11,12,None,Arrow,,
22,Line,,2,,,7,13,None,Arrow,,
23,Line,,2,,,13,8,None,Arrow,,
24,Line,,2,,,9,14,None,Arrow,,
