Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,,"ISO - Strict and Fully Reversible, Univocal, with Short Vowels Only Transliterated if Written in the Source Text"
2,Page,,,,,,,,,,Page 1
3,Decision,Flowchart Shapes,2,,,,,,,,Is the character found in the mapping file?
4,Process,Flowchart Shapes,2,,,,,,,,Change all instances of ي and ك and ۀ in the text to ی and ک and هٔ 
5,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Mapper
6,Decision,Flowchart Shapes,2,,,,,,,,Is it ّ?
7,Process,Flowchart Shapes,2,,,,,,,,Repeat last character's transliteration and underline both.
8,Process,Flowchart Shapes,2,,,,,,,,Return the character!
9,Curly Brace Note,Flowchart Shapes,2,,,,,,,,ISO-Strict
10,Process,Flowchart Shapes,2,,,,,,,,Keep running Mapper till the input ends!
11,Decision,Flowchart Shapes,2,,,,,,,,Is it ا?
12,Process,Flowchart Shapes,2,,,,,,,,Return its transliteration!
13,Decision,Flowchart Shapes,2,,,,,,,,Is the next character ل?
14,Decision,Flowchart Shapes,2,,,,,,,,Is the 2nd next character ل?
15,Decision,Flowchart Shapes,2,,,,,,,,Is the 3rd next character ه?
16,Process,Flowchart Shapes,2,,,,,,,,Return Allāh for these four characters and pass the 4th next character to Mapper
17,Process,Flowchart Shapes,2,,,,,,,,"Return âll for these three characters, and pass the 3rd next character to Mapper"
18,Process,Flowchart Shapes,2,,,,,,,,"Return âl for these two characters, and pass the 2nd next character to Mapper"
19,Process,Flowchart Shapes,2,,,,,,,,"Return â for this character, and pass the next character to Mapper"
20,Decision,Flowchart Shapes,2,,,,,,,,Is it ه?
21,Decision,Flowchart Shapes,2,,,,,,,,Is the next character ٔ?
22,Process,Flowchart Shapes,2,,,,,,,,"Return h’ for these two characters, and pass the 2nd next character to Mapper"
23,Process,Flowchart Shapes,2,,,,,,,,"Return h for this character, and pass the next character to Mapper"
24,Line,,2,,,6,7,None,Arrow,,Yes
25,Line,,2,,,6,8,None,Arrow,,No
26,Line,,2,,,5,3,None,Arrow,,
27,Line,,2,,,9,4,None,Arrow,,
28,Line,,2,,,4,10,None,Arrow,,
29,Line,,2,,,3,11,None,Arrow,,Yes
30,Line,,2,,,3,6,None,Arrow,,No
31,Line,,2,,,11,13,None,Arrow,,Yes
32,Line,,2,,,13,14,None,Arrow,,Yes
33,Line,,2,,,14,15,None,Arrow,,Yes
34,Line,,2,,,15,16,None,Arrow,,Yes
35,Line,,2,,,15,17,None,Arrow,,No
36,Line,,2,,,14,18,None,Arrow,,No
37,Line,,2,,,13,19,None,Arrow,,No
38,Line,,2,,,11,20,None,Arrow,,No
39,Line,,2,,,20,21,None,Arrow,,Yes
40,Line,,2,,,21,22,None,Arrow,,Yes
41,Line,,2,,,20,12,None,Arrow,,No
42,Line,,2,,,21,23,None,Arrow,,No
43,Page,,,,,,,,,,Page 2
