Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,,Demo: Mappings
2,Page,,,,,,,,,,Page 1
3,Process,Flowchart Shapes,2,,,,,,,,"Done, do nothing!"
4,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Mapping
5,Decision,Flowchart Shapes,2,,,,,,,,has a or b?
6,Process,Flowchart Shapes,2,,,,,,,,transliterate a and b
7,Process,Flowchart Shapes,2,,,,,,,,apply mappings to all chars
8,Process,Flowchart Shapes,2,,,,,,,,apply mappings to all chars
9,Line,,2,,,4,5,None,Arrow,,
10,Line,,2,,,5,6,None,Arrow,,Yes
11,Line,,2,,,5,7,None,Arrow,,No
12,Line,,2,,,6,8,None,Arrow,,
13,Line,,2,,,7,3,None,Arrow,,
14,Line,,2,,,8,3,None,Arrow,,
