Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,,Demo: Preprocessor
2,Page,,,,,,,,,,Page 1
3,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Preprocessor
4,Process,Flowchart Shapes,2,,,,,,,,Normalize the text!
5,Process,Flowchart Shapes,2,,,,,,,,Tokenize the text!
6,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
7,Line,,2,,,3,4,None,Arrow,,
8,Line,,2,,,4,5,None,Arrow,,
9,Line,,2,,,5,6,None,Arrow,,
10,Page,,,,,,,,,,Page 2
