Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,,Demo: Transliteration
2,Page,,,,,,,,,,Page 1
3,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Transliteration
4,Process,Flowchart Shapes,2,,,,,,,,process each word with mapping
5,Process,Flowchart Shapes,2,,,,,,,,bind transliterated words together
6,Terminator,Flowchart Shapes,2,,,,,,,,Preprocessor
7,Process,Flowchart Shapes,2,,,,,,,,"done, terminate"
8,Line,,2,,,4,5,None,Arrow,,
9,Line,,2,,,3,6,None,Arrow,,
10,Line,,2,,,6,4,None,Arrow,,
11,Line,,2,,,5,7,None,Arrow,,
