Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,,Preprocessor
2,Page,,,,,,,,,,Page 1
3,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Preprocessor
4,Process,Flowchart Shapes,2,,,,,,,,Normalize the text!
5,Process,Flowchart Shapes,2,,,,,,,,Tokenize the text!
6,Process,Flowchart Shapes,2,,,,,,,,Recognize parts of speech in the text!
7,Process,Flowchart Shapes,2,,,,,,,,Run transliterator on each word!
8,Line,,2,,,3,4,None,Arrow,,
9,Line,,2,,,4,5,None,Arrow,,
10,Line,,2,,,5,6,None,Arrow,,
11,Line,,2,,,6,7,None,Arrow,,
