Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,,Farsi Transliteration - version 6
2,Page,,,,,,,,,,Page 1
3,Decision,Flowchart Shapes,2,,,,,,,,Is the word found in the DB?
4,Process,Flowchart Shapes,2,,,,,,,,Output its transliteration!
5,Decision,Flowchart Shapes,2,,,,,,,,Collision?
6,Process,Flowchart Shapes,2,,,,,,,,Collision-handler
7,Process,Flowchart Shapes,2,,,,,,,,Change all instances of ي and ك and ۀ in the text to ی and ک and هٔ
8,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Affix-handler
9,Decision,Flowchart Shapes,2,,,,,,,,Is there only one instance of the affix?
10,Decision,Flowchart Shapes,2,,,,,,,,Is it بی or نی?
11,Decision,Flowchart Shapes,2,,,,,,,,Is it ست?
12,Process,Flowchart Shapes,2,,,,,,,,ST-handler
13,Decision,Flowchart Shapes,2,,,,,,,,Is it ی?
14,Process,Flowchart Shapes,2,,,,,,,,Y-handler
15,Decision,Flowchart Shapes,2,,,,,,,,Is it ات?
16,Process,Flowchart Shapes,2,,,,,,,,AT-handler
17,Decision,Flowchart Shapes,2,,,,,,,,Is it ان?
18,Process,Flowchart Shapes,2,,,,,,,,AN-handler
19,Decision,Flowchart Shapes,2,,,,,,,,Is it ش?
20,Process,Flowchart Shapes,2,,,,,,,,SH-handler
21,Decision,Flowchart Shapes,2,,,,,,,,Is it م?
22,Process,Flowchart Shapes,2,,,,,,,,M-handler
23,Decision,Flowchart Shapes,2,,,,,,,,Is it مان?
24,Process,Flowchart Shapes,2,,,,,,,,MAN-handler
25,Decision,Flowchart Shapes,2,,,,,,,,Is it می?
26,Process,Flowchart Shapes,2,,,,,,,,MI-handler
27,Decision,Flowchart Shapes,2,,,,,,,,Is it ون?
28,Process,Flowchart Shapes,2,,,,,,,,UN-handler
29,Decision,Flowchart Shapes,2,,,,,,,,Is it ید?
30,Process,Flowchart Shapes,2,,,,,,,,ID-handler
